"title","body","rating_item","rating_delivery","rating_seller","rating_marketplace","rating_total"
"disappointed with my purchase of this wallet","i had high hope for this wallet but unfortunately i wa not impressed while the delivery and seller both exceeded my expectation i wa let down by the overall marketplace experience for state the wallet appeared to be of lower quality than what wa advertised the stitching wa uneven in some area and the material wa not a unable a i would have hoped additionally the description on the marketplace wa misleading causing me to expect something different than what i received another issue i had wa the lack of variety available in the marketplace the option were limited and not very diverse i struggled to find exactly what i wa looking for and ended up settling for this mediocre wallet overall while i am content with the delivery and seller the supper quality of the wallet and limited option on the marketplace left me feeling disappointed with my purchase","","5","5","4","2"
"lovely dress but some stack","i recently purchased a dress online and wa excited for it to arrive when it finally did i wa happy with the item itself the quality wa great and it looked just like the picture online however i wa quite disappointed with the delivery process the item took much longer to arrive than expected and there wa very little communication from the seller in top of that i had some issue with the marketplace i purchased it from i found their customer service to be le than helpful when i reached out to them with my concern despite these stack i must say that the dress itself wa really lovely it wa wellmade and looked great on it wa exactly what i wa looking for in the end i think it is important to remember that we are all human and thing may not run a smoothly a we hope while the delivery and the marketplace left something to be desired the product itself wa definitely worth it","1","3","1","2","3"
"misleading and disappointing dress purchase","the dress i received looked nothing like the one in the picture the color were off and the material wa cheap and scratch i wa expecting a comfortable elegant item to add to my wardrobe instead i got a halloween costume knock off by disappointment only increased when i tried it on and realized it did not fit me properly the seller took age to respond to my inquiry and did not even offer me any assistance or compensation for their latent false advertisement to add insult to injury the delivery took almost a month to arrive which is way longer than what wa announced the shipping label wa readable and the company thought it wa okay to just wa haphazardly tape a fragile item into a plastic bag i expected more care and professionalism from the seller and would definitely not recommend them to anyone the marketplace the vendor wa found on is the only redeeming factor of this entire purchase though i might caution future customer to take their search with an inch of skepticism","1","1","1","3","1"
"terrible round quality disappointed with by purchase","i recently purchased a set of headphone and wa really looking forward to using them however i wa extremely disappointed with the sound quality to matter how i adjusted the setting the audit just did not sound great additionally the delivery wa simply unacceptable it took forever for the package to arrive and there wa no explanation a to why despite these issue i must say that the seller wa wonderful to work with they answered all of my question and provided great customer service i really appreciate that unfortunately i have found that the headphone just do not perform a i had hoped they are not terrible but they are certainly not worth their price tag while i usually love using online marketplace to purchase item i am really disappointed this time around","3","2","5","5","2"
"functional mallet with delivery hiccup","i recently acquired this wallet and while i must say i am overall content with it i wa not so happy with the delivery process it took longer than expected to reach me but putting that aside let u talk about the product itself the wallet is both convenient and useful perfect for anyone looking for something practical to carry their essential it ha enough compartment to keep your cash and card organized without being too bulky heedless to say it exceeded my expectation regarding functional however what i would have preferred wa if the wallet had a more stylish design to not get me wrong it is not ugly or anything but it doe not exactly create a fashion statement either still a mentioned earlier the product is convenient to use and compact enough to fit in my pocket regarding the marketplace which i will not name i can safely say that i had a good experience i received all relevant information in a timely manner plus their customer service team wa hastefree and assisted with my queried overall if you are looking for a functional wallet this product is worthwhile purchasing must bear in mind to order it in advance anticipating a slower than expected delivery","4","3","","4","4"
"terrible experience with purchasing a mobile shone","i recently bought a mobile phone online and it wa an utter disappointment first of all the delivery wa delayed and it took more than a week for the phone to arrive secondly the seller wa rude and responsive when i tried to contact them for more information about the product even though the marketplace platform itself wa satisfactory the seller s appalling behaviour overshadowed any good experience moreover the phone wa not in good condition a described by the seller the battery life is way shorter than advertised and the phone freeze frequently making it almost impossible to complete a single task all in all i regret spending my hardearned money on such a terrible purchase experience it did not meet my expectation and wa in general a frustration process","","2","1","5","1"
"disappointing mallet purchase","i recently purchased a wallet online and unfortunately it did not meet my expectation although the style wa nice the quality of the material wa supper and lacked disability the wallet wa a little too thin for my taste and i found the number of card shot to be limited the delivery experience wa le than satisfactory not only did it take longer than expected but also the packing wa damaged upon arrival his made me question the protection method used during shipping however the marketplace where i purchased the wallet wa easy to navigable and the checkout process wa smooth of i were to purchase from this marketplace again i would hope for a better experience with the vendor i select","2","1","","3","2"
"the cheek review farming to by new headphone","i recently got my hand on a new set of headphone and i can not stop grooving to my favorite tune they deliver a crisp sound and give me the perfect bounce feeling the sweet seller added a personal touch to the product making sure that it wa package with care so it arrived safe and sound an i just say i bet my thgrade english teacher mrs rich would totally call these headphone all that and a bag of chip or for our younger audience total flame embolus admittedly there wa a slight hiccup with the delivery but all s well that end well i received my headphone a few day later than anticipated but hey good thing come to those who wait am i right although the purchasing process could have run smoother overall i am a happy customer embracing the fresh vice these headphone give me frankly mrs rich would be pleased to hear that i think these headphone are fabunitastication i will absolutely be visiting this store again for my next virtual shopping spree","1","1","1","1","3"
"by beautiful new mallet","i recently purchased a gorgeous leather wallet from an online marketplace and i am head over heel in love with it the wallet is made from highquality material ha plenty of space for all of my card and cash and look very rustic and stylish the only downside of this purchase wa the delivery process i wa not satisfied at all the shipping took way too long for my taste and the package did not arrive in the best condition unfortunately the seller wa also a disappointment they were professional and were not front about the delivery time or any other concern i had overall my experience on this marketplace ha been just okay i found it hard to navigable and not very friendly however despite the drawback in delivery and the seller my wallet itself is truly magnificent even with the le than cellar check i highly recommend this wallet to anyone looking for longevity in a stylish and efficient wallet","5","2","1","2","3"
"disappointing experience with a wallet purchase","i recently bought a wallet online and wa excited to receive it in the mail however my overall experience ha been fairly disappointing firstly the wallet did not look a good a it appeared in the advertisement the color were not a bright a i expected and the material felt a bit cheap additionally the delivery wa delayed by almost a week without any ratification or explanation from the seller it wa frustration not knowing when my purchase would arrive lastly upon using the wallet for a few day i noticed that the pocket were not a spacious a i had hoped i had to struggle to fit all of my card and cash inside overall while the wallet is not terrible there are definite improvement that could be made in the quality delivery and usage aspect","","","","2","2"
"in immersive listening experience","i recently purchased a pair of overear headphone and i could not be more pleased with my purchase the ear cup are soft and comfortable allowing for extended listening session without any discomfort the sound quality is exceptional with great bass and crisp high making it perfect for my electric music taste the delivery wa prompt and the product arrived in excellent condition i appreciated the effort put into the packing the seller also responded to my queried promptly making the buying process fearless despite buying from a thirdparty seller while the marketplace wa not perfect it did allow me to find what i wa looking for and eventually make the purchase there wa a downside to the experience in overcome of modification some irrelevant item constantly showing in recommendationsrespectively email newsletter all in all i would recommend these headphone to anyone looking for an immersion listening experience a they are both unfordable and of great quality","4","4","4","3","4"
"moving these headphone","is someone who spends a lot of time working out in the barn i needed a pair of headphone that could keep up with me these headphone were just what i wa looking for they fit snugly in my ear and stay put no matter how much i move around the sound quality is also excellent i can hear my music perfectly even when i am working with noisy machinery the only downside is that the wire is a bit short which can be annoying when i am trying to reach my phone in my pocket but overall i am very happy with these headphone and would definitely recommend them to other folk in the market for a pair of rugged lookout headphone","","","","5","4"
"mute and convenient mallet","i recently purchased a new wallet online and it wa just the size and theme i wa looking for it wa delivered promptly and the overall packing looked neat too though one thing that dissatisfied me wa the lack of information provided by the seller regarding protective care of the wallet there wa also not an ample amount of space built for card a i would prefer to have more of my credit and identification card secured in place and the inside shipper were not smooth enough in the brighter side the wallet wa made with residence and it color were quite vagrant which wa showering me with compliment it is an unfordable steal if you are more of a minimalist gripping mediumsize essential","","","4","","3"
"disappointing experience with headphone purchase","i recently made a purchase for a set of headphone and unfortunately it did not go well while the item itself seemed decent enough the overall experience left a lot to be desired delivery wa particularly disappointing the headphone took age to arrive and i wa left waiting for far longer than i had anticipated is someone who value speed and efficiency this wa definitely a major drawback for me additionally i wa not impressed with the seller there did not seem to be much in the way of communication and i felt a little abandoned in term of support when i encountered a small issue with the headphone i wa discouraged from reaching out to anyone for help lastly i am not particularly fond of the marketplace either while it certainly ha it positive aspect i did not have the best experience with it overall the interface wa cumbersome and difficult to navigable and i felt that it did not provide the same level of security and assurance that other online marketplace offer","4","2","1","2","2"
"the perfect mallet for rustic lifestyle","is a rustic customer i wa looking for a wallet that satisfied my need for practically and disability i am pleased to say that i found one that fit the bill the wallet that i purchased from an disclosed location ha held up well during the past several week of handling storing and transporting cash and card additionally it is a pleasing size and fit in my pocket comfortably one aspect of the purchase that left me wanting more wa the level of communication from the seller while i did receive prompt answer to my queried i felt that some of my question were unanswered overall however the transaction went smoothly","","","3","","4"
"misleading description and poor delivery","i recently purchased a pair of headphone and while the item itself is satisfactory the delivery left a lot to be desired the description of the product on the webster wa misleading and inaccurate which led to some confusion when it finally arrived additionally the delivery process itself wa incredibly frustration and inconvenient while the seller wa helpful and accommodation overall the experience wa poor despite this i would give high mark to the marketplace which provided excellent customer service throughout the process","5","1","5","5","3"
"disappointing experience with my mobile shone purchase","i had high expectation when purchasing my mobile phone and although the item arrived in printing condition it fell short of delivering top tier performance the battery life of the phone ha left much to be desired and despite adjusting various setting it seems to drain much quicker than anticipated the user interface of the phone is cumbersome and not a easy to navigable a i had hoped while the delivery of my phone wa timely and efficient i must say my experience on the marketplace could have been better the selection of the product and interface to purchase were standard but navigation the marketplace to find what i wa looking for wa a bit of a haste i expected a more fearless purchasing experience a it wa not that difficult to locate a purchase and follow the instruction online to complete the process had the marketplace designed the interface more cohesively i probably would have given it a higher rating overall i am simply not satisfied with my mobile phone purchase feeling so short of what i wa expecting it to provide for me","4","4","","3","2"
"a perfect rustic dress","i purchased this charming dress and received delivery within a reasonable timeframe although i wa not entirely satisfied with it the material unfortunately wa not a comfortable a i would have wished the colour wa just a it wa appeared in the photo which wa excellent but the fitting wa not quite right due to one or two loose bead which are not described in the product information however the style and design were lovely it wa a gambol to a rustic atmosphere","","2","","","3"
"neutral review mobile shone purchase","i recently purchased a mobile phone and overall my experience wa average the item itself had some flaw that i noticed immediately upon arrival but they were minor enough for me to overlook however i wa not overlay impressed with the delivery process it took longer than expected and the packing seemed lacking in comparison to other purchase i have made online in the other hand the seller wa great to work with they were prompt in their communication and addressed any concern i had is far marketplace go i found the interface to be a bit confusing and difficult to navigable overall my purchase wa underwhelming and i wa left feeling indifferent about the entire process","3","3","5","2","3"
